--- items-coins.png ---
Sprite: x=0, y=0, w=194, h=92
Sprite: x=374, y=94, w=6, h=4
Sprite: x=438, y=94, w=6, h=4
Sprite: x=135, y=95, w=6, h=4
Sprite: x=149, y=95, w=8, h=7
Sprite: x=231, y=95, w=6, h=4
Sprite: x=245, y=95, w=8, h=7
Sprite: x=294, y=95, w=6, h=4
Sprite: x=326, y=95, w=6, h=4
Sprite: x=390, y=95, w=6, h=4
Sprite: x=422, y=95, w=6, h=4
Sprite: x=88, y=102, w=5, h=4
Sprite: x=152, y=102, w=5, h=7
Sprite: x=184, y=102, w=5, h=4
Sprite: x=248, y=102, w=5, h=7
Sprite: x=279, y=102, w=5, h=4
Sprite: x=343, y=102, w=5, h=7
Sprite: x=375, y=102, w=5, h=4
Sprite: x=439, y=102, w=5, h=7
Sprite: x=133, y=103, w=8, h=6
Sprite: x=229, y=103, w=8, h=6
Sprite: x=292, y=103, w=8, h=6
Sprite: x=324, y=103, w=8, h=6
Sprite: x=388, y=103, w=8, h=6
Sprite: x=420, y=103, w=8, h=6
Sprite: x=308, y=105, w=8, h=4
Sprite: x=404, y=105, w=8, h=4
Sprite: x=80, y=112, w=80, h=64
Sprite: x=176, y=112, w=80, h=64
Sprite: x=272, y=112, w=80, h=64
Sprite: x=368, y=112, w=80, h=64
Sprite: x=24, y=116, w=4, h=8
Sprite: x=44, y=118, w=8, h=6
Sprite: x=30, y=120, w=4, h=4
Sprite: x=1, y=132, w=6, h=8
Sprite: x=20, y=132, w=4, h=8
Sprite: x=41, y=134, w=7, h=6
Sprite: x=11, y=136, w=5, h=4
Sprite: x=27, y=136, w=4, h=4
Sprite: x=35, y=148, w=4, h=8
Sprite: x=18, y=150, w=4, h=6
Sprite: x=55, y=150, w=8, h=6
Sprite: x=9, y=152, w=4, h=4
Sprite: x=42, y=152, w=4, h=4
Sprite: x=1, y=164, w=6, h=8
Sprite: x=23, y=164, w=4, h=8
Sprite: x=43, y=166, w=7, h=6
Sprite: x=29, y=168, w=4, h=4
Sprite: x=272, y=192, w=80, h=64
Sprite: x=368, y=192, w=80, h=64
Sprite: x=216, y=196, w=4, h=8
Sprite: x=236, y=198, w=8, h=6
Sprite: x=222, y=200, w=4, h=4
Sprite: x=193, y=212, w=6, h=8
Sprite: x=212, y=212, w=4, h=8
Sprite: x=233, y=214, w=7, h=6
Sprite: x=203, y=216, w=5, h=4
Sprite: x=219, y=216, w=4, h=4
Sprite: x=227, y=228, w=4, h=8
Sprite: x=210, y=230, w=4, h=6
Sprite: x=247, y=230, w=8, h=6
Sprite: x=201, y=232, w=4, h=4
Sprite: x=234, y=232, w=4, h=4
Sprite: x=193, y=244, w=6, h=8
Sprite: x=215, y=244, w=4, h=8
Sprite: x=235, y=246, w=7, h=6
Sprite: x=221, y=248, w=4, h=4
